nome_agente_financeiro;cnpj_cpf_cliente_mascarado;nome_cliente;porte_cliente;valor_credito;valor_garantido;valor_desembolsado;data_solicitacao_outorga;municipio_investimento;uf_investimento;municipio_sede_cliente;uf_sede_cliente;outlier_credito
BRADESCO;**.*05.997/0001-**;IF TRANSPORTES LTDA;Pequena;315126.05;252100,84;300000,0;2025-08-20;PARANAVAI;PR;PARANAVAI;PR;False
BRADESCO;**.*70.051/0001-**;A. ARAUJO DE CARVALHO PECAS;Pequena;187188.02;149750,42;180000,0;2025-08-20;IGUATU;CE;IGUATU;CE;False
BRADESCO;**.*99.730/0001-**;MAURO JUNIOR BATISTA CRUZ LTDA;Pequena;62396.01;49916,81;60000,0;2025-08-20;TEOFILO OTONI;MG;TEOFILO OTONI;MG;False
BRADESCO;**.*11.635/0001-**;M.B.S VIAGENS E TURISMO LTDA;Pequena;61779.24;49423,39;60000,0;2025-08-20;TANQUINHO;BA;TANQUINHO;BA;False
BRADESCO;**.*35.017/0001-**;REINALDO SANTOS SANTANA;Pequena;188916.88;151133,5;180000,0;2025-08-20;CACULE;BA;CACULE;BA;False
BRADESCO;**.*97.073/0001-**;REVISELUB LTDA;Pequena;420168.07;336134,46;400000,0;2025-08-20;PARANAVAI;PR;PARANAVAI;PR;False
BRADESCO;**.*41.530/0001-**;DROGARIA MOREIRA IPATINGA LTDA;Pequena;124792.01;99833,61;120000,0;2025-08-20;IPATINGA;MG;IPATINGA;MG;False
BRADESCO;**.*53.765/0001-**;THAYS SANTOS HAMAD MOVEIS;Pequena;203915.17;163132,14;200000,0;2025-08-20;TABOAO DA SERRA;SP;TABOAO DA SERRA;SP;False
BRADESCO;**.*27.699/0001-**;M F M SANTOS LTDA;Pequena;157563.03;126050,42;150000,0;2025-08-20;BELA VISTA DO MARANHAO;MA;BELA VISTA DO MARANHAO;MA;False
BRADESCO;**.*06.232/0001-**;PEIXOTO CAR, SERVICOS ADMINISTRATIVOS E COMERCIO DE VEICULOS EIRELI;Pequena;420168.07;336134,46;400000,0;2025-08-20;VARGEM GRANDE PAULISTA;SP;VARGEM GRANDE PAULISTA;SP;False
BRADESCO;**.*06.352/0001-**;R. J. DE ANDRADE LEITE ARMAZEM - ME;Pequena;111344.54;89075,63;106000,0;2025-08-20;CAPITAO DE CAMPOS;PI;CAPITAO DE CAMPOS;PI;False
BRADESCO;**.*04.579/0001-**;LUCIANO MOREIRA JUNIOR;Pequena;89434.28;71547,42;86000,0;2025-08-20;LAVRAS;MG;LAVRAS;MG;False
BRADESCO;**.*30.250/0001-**;MCG PRODUCOES E LOCACOES DE EQUIPAMENTOS PARA EVENTOS LTDA;Micro;56630.97;45304,78;55000,0;2025-08-22;SAO PAULO;SP;SAO PAULO;SP;False
BRADESCO;**.*52.752/0001-**;H POUBEL B FERREIRA;Pequena;21411.09;17128,87;21000,0;2025-08-20;ALEGRE;ES;ALEGRE;ES;False
BRADESCO;**.*68.166/0001-**;CONSTRUTORA SOARES EIRELI ME;Pequena;82372.32;65897,86;80000,0;2025-08-20;CHAPADAO DO SUL;MS;CHAPADAO DO SUL;MS;False
BRADESCO;**.*12.248/0001-**;JR. CARVALHO LTDA;Pequena;30889.62;24711,7;30000,0;2025-08-20;CONCEICAO DO COITE;BA;CONCEICAO DO COITE;BA;False
BRADESCO;**.*33.611/0001-**;ORTO IMPLANTE BERTIOGA LTDA;Pequena;210084.03;168067,22;200000,0;2025-08-20;BERTIOGA;SP;BERTIOGA;SP;False
BRADESCO;**.*89.976/0001-**;SOMASA FESTAS E DESCARTAVEIS LTDA;Pequena;396214.64;316971,71;381000,0;2025-08-20;TRES RIOS;RJ;TRES RIOS;RJ;False
BRADESCO;**.*34.137/0001-**;FASCE FABR DE SECADORES CLASSIF E ELEVADORES LTDA;Pequena;315126.05;252100,84;300000,0;2025-08-20;IJUI;RS;IJUI;RS;False
BRADESCO;**.*17.241/0001-**;FIBRA PRIME SERVICOS DE TELECOMUNICACOES LTDA;Pequena;207986.69;166389,35;200000,0;2025-08-20;CATANDUVA;SP;CATANDUVA;SP;False
BRADESCO;**.*28.751/0001-**;A C P CAMPOS - ME;Pequena;20391.52;16313,22;20000,0;2025-08-20;TUNTUM;MA;TUNTUM;MA;False
BRADESCO;**.*96.347/0001-**;TARCISO BATISTA PEREIRA;Pequena;384775.37;307820,3;370000,0;2025-08-20;RIO DO ANTONIO;BA;RIO DO ANTONIO;BA;False
BRADESCO;**.*89.692/0001-**;FRANCISCO VANDERLEI FURTADO PESCADOS;Pequena;289101.5;231281,2;278000,0;2025-08-22;ACARAU;CE;ACARAU;CE;False
BRADESCO;**.*39.200/0001-**;EDILENE JOSE DA SILVA VESTUARIO;Pequena;155990.02;124792,02;150000,0;2025-08-20;PAULISTA;PE;PAULISTA;PE;False
BRADESCO;**.*79.827/0001-**;AGJ REPRESENTACAO LTDA;Pequena;367647.06;294117,65;350000,0;2025-08-20;ANANINDEUA;PA;ANANINDEUA;PA;False
BRADESCO;**.*00.224/0001-**;CLAUDIO ANDRADE NEGOCIOS IMOBILIARIOS LTDA;Pequena;157563.03;126050,42;150000,0;2025-08-20;MAUA;SP;MAUA;SP;False
BRADESCO;**.*88.715/0001-**;FONTUR TRANSPORTES LTDA;Pequena;223585.69;178868,55;215000,0;2025-08-20;VACARIA;RS;VACARIA;RS;False
BRADESCO;**.*01.264/0001-**;FATHALE COMERCIO DO VESTUARIO LTDA;Pequena;56630.97;45304,78;55000,0;2025-08-20;VACARIA;RS;VACARIA;RS;False
BRADESCO;**.*58.184/0001-**;LOAN MENDES CASTELAO ARCAS TOPAL TRANSPORTES;Pequena;273109.24;218487,39;260000,0;2025-08-27;MIRANTE DO PARANAPANEMA;SP;MIRANTE DO PARANAPANEMA;SP;False
BRADESCO;**.*39.148/0001-**;DA TERRA COMERCIO DE HORTIFRUTIGRANJEIROS LTDA;Pequena;262605.04;210084,03;250000,0;2025-08-22;UBERLANDIA;MG;UBERLANDIA;MG;False
BRADESCO;**.*87.267/0001-**;REIS & SOUTO INTERMEDIACOES IMOBILIARIAS LTDA;Pequena;426372.71;341098,17;410000,0;2025-08-22;ITU;SP;ITU;SP;False
BRADESCO;**.*12.929/0001-**;HELIO NASCIMENTO SILVA LTDA;Pequena;168067.23;134453,78;160000,0;2025-08-20;EUCLIDES DA CUNHA;BA;EUCLIDES DA CUNHA;BA;False
BRADESCO;**.*20.317/0001-**;ENDOCLIN ENDOGASTRO EIRELI;Pequena;199579.83;159663,86;190000,0;2025-08-22;IMPERATRIZ;MA;IMPERATRIZ;MA;False
BRADESCO;**.*69.093/0001-**;LL CASTRO GUINCHOS LTDA;Pequena;169892.92;135914,34;165000,0;2025-08-22;PETROLINA;PE;PETROLINA;PE;False
BRADESCO;**.*55.301/0001-**;BARAO COMERCIO VAREJISTA DE VEICULOS LTDA;Micro;315126.05;252100,84;300000,0;2025-08-22;GUANAMBI;BA;GUANAMBI;BA;True
BRADESCO;**.*25.971/0001-**;DANDA LOJA DE VARIEDADES E IMPORTADORA LTDA;Pequena;206774.73;165419,78;199000,0;2025-08-22;INDAIATUBA;SP;INDAIATUBA;SP;False
BRADESCO;**.*89.236/0001-**;LF & HL VEICULOS LTDA;Pequena;176788.69;141430,95;170000,0;2025-08-22;MONTES CLAROS;MG;MONTES CLAROS;MG;False
BRADESCO;**.*47.514/0001-**;ILHA COWORKING SERVICOS ADMINISTRATIVOS LTDA;Pequena;176788.69;141430,95;170000,0;2025-08-22;FEIRA DE SANTANA;BA;FEIRA DE SANTANA;BA;False
BRADESCO;**.*29.579/0001-**;BRILHA KIDS LTDA;Pequena;207986.69;166389,35;200000,0;2025-08-22;GASPAR;SC;GASPAR;SC;False
BRADESCO;**.*07.800/0001-**;ROBSON ELIAS DA SILVA;Pequena;291181.36;232945,09;280000,0;2025-08-22;NOVO REPARTIMENTO;PA;NOVO REPARTIMENTO;PA;False
BRADESCO;**.*48.223/0001-**;FACILITIES S I M A C LTDA;Pequena;175748.75;140599,0;169000,0;2025-08-22;BERTIOGA;SP;BERTIOGA;SP;False
BRADESCO;**.*02.531/0001-**;E DE SOUZA DESMONTE;Pequena;103993.34;83194,67;100000,0;2025-08-22;ADAMANTINA;SP;ADAMANTINA;SP;False
BRADESCO;**.*96.868/0001-**;R.P.G CENTRO AUTOMOTIVO SOCIEDADE EMPRESARIA LTDA;Pequena;289101.5;231281,2;278000,0;2025-08-22;PRESIDENTE PRUDENTE;SP;PRESIDENTE PRUDENTE;SP;False
BRADESCO;**.*70.583/0001-**;MANOEL MARINHO DA SILVA FILHO LANCHES;Pequena;108193.28;86554,62;103000,0;2025-08-22;SANTOS;SP;SANTOS;SP;False
BRADESCO;**.*63.057/0001-**;J. O. SOUZA REPRESENTACOES LTDA;Pequena;41597.34;33277,87;40000,0;2025-08-22;FORTALEZA;CE;FORTALEZA;CE;False
BRADESCO;**.*81.388/0001-**;TAWC LOGISTICS LTDA;Pequena;249584.03;199667,22;240000,0;2025-08-22;SAO BERNARDO DO CAMPO;SP;SAO BERNARDO DO CAMPO;SP;False
BRADESCO;**.*22.018/0001-**;M.A.C. GOMES ALIMENTOS LTDA;Pequena;493968.39;395174,71;475000,0;2025-08-22;CAMPO GRANDE;MS;CAMPO GRANDE;MS;False
BRADESCO;**.*01.482/0001-**;YONG CHING LTDA;Pequena;207986.69;166389,35;200000,0;2025-08-22;RECIFE;PE;RECIFE;PE;False
BRADESCO;**.*17.354/0001-**;ERASMO FRANCISCO RIBEIRO LTDA;Pequena;77995.01;62396,01;75000,0;2025-08-22;UBERLANDIA;MG;UBERLANDIA;MG;False
BRADESCO;**.*23.194/0001-**;JOSE BRENO ARRUDA DA SILVA;Pequena;66927.51;53542,01;65000,0;2025-08-22;SURUBIM;PE;SURUBIM;PE;False
BRADESCO;**.*70.910/0001-**;RAIDEL DE SOUZA PURGATO - ME;Pequena;218386.02;174708,82;210000,0;2025-08-22;JUIZ DE FORA;MG;JUIZ DE FORA;MG;False
BRADESCO;**.*02.932/0001-**;SCS SERVICENG MANUTENCAO E MONTAGENS INDUSTRIAIS LTDA;Pequena;467970.05;374376,04;450000,0;2025-08-22;SAO PAULO;SP;SAO PAULO;SP;False
BRADESCO;**.*19.408/0001-**;VINEW INDUSTRIA E COMERCIO LTDA;Pequena;498949.58;399159,66;475000,0;2025-08-22;INDAIATUBA;SP;INDAIATUBA;SP;False
BRADESCO;**.*75.457/0001-**;ELISON DE S LIMA LTDA;Pequena;230865.22;184692,18;222000,0;2025-08-22;COARI;AM;COARI;AM;False
BRADESCO;**.*81.504/0001-**;MAFIOZZA PIZZA NSR LTDA;Pequena;183028.29;146422,63;176000,0;2025-08-22;NOVA SANTA RITA;RS;NOVA SANTA RITA;RS;False
BRADESCO;**.*73.116/0001-**;ADRIANA PATRICIA ARAUJO DOS SANTOS & CIA LTDA;Pequena;493968.39;395174,71;475000,0;2025-08-22;AMELIA RODRIGUES;BA;AMELIA RODRIGUES;BA;False
BRADESCO;**.*39.643/0001-**;LAGOA FLAT HOTEL LTDA;Pequena;489085.67;391268,54;475000,0;2025-08-22;LAGOA DA PRATA;MG;LAGOA DA PRATA;MG;False
BRADESCO;**.*93.860/0001-**;IREFRAN TRANSPORTADORA LTDA;Pequena;83194.68;66555,74;80000,0;2025-08-27;SAO PAULO;SP;SAO PAULO;SP;False
BRADESCO;**.*75.885/0001-**;TR GRILLO TRANSPORTE E COMERCIO DE MARMORES E GRANITOS LTDA;Pequena;467970.05;374376,04;450000,0;2025-08-22;SANGAO;SC;SANGAO;SC;False
BRADESCO;**.*04.844/0001-**;PRATELEIRAS AGUAS CLARAS COMERCIO DE MOVEIS LTDA;Pequena;484298.53;387438,82;475000,0;2025-08-27;SALVADOR;BA;SALVADOR;BA;False
BRADESCO;**.*39.302/0001-**;TRANS FLIPPER LTDA;Pequena;108113.67;86490,94;105000,0;2025-08-27;VENTANIA;PR;VENTANIA;PR;False
BRADESCO;**.*40.023/0001-**;THAL REPRESENTACOES COMERCIAIS LTDA - ME;Pequena;109193.01;87354,41;105000,0;2025-08-27;MANAUS;AM;MANAUS;AM;False
BRADESCO;**.*41.199/0001-**;VB ROYAL VEICULOS LTDA;Pequena;288865.55;231092,44;275000,0;2025-08-22;LONDRINA;PR;LONDRINA;PR;False
BRADESCO;**.*18.056/0001-**;IMPERIO COMERCIO DE CALCADOS LTDA - ME;Pequena;102965.4;82372,32;100000,0;2025-08-27;SALVADOR;BA;SALVADOR;BA;False
BRADESCO;**.*74.799/0001-**;THIAGO MATEUS MAZZER - MOVEIS;Pequena;267782.86;214226,29;257500,0;2025-08-27;SAO PAULO;SP;SAO PAULO;SP;False
BRADESCO;**.*13.082/0001-**;DARLAN DO SOCORRO PAZ DA SILVA;Pequena;30587.28;24469,82;30000,0;2025-08-27;IGARAPE-ACU;PA;IGARAPE-ACU;PA;False
BRADESCO;**.*82.537/0001-**;HUSF HUSSEIM ATTIE ME;Pequena;415973.38;332778,7;400000,0;2025-08-22;TARUMA;SP;TARUMA;SP;False
BRADESCO;**.*45.398/0001-**;CENTRO DE FORMACAO DE CONDUTORES DOMINIO LTDA;Pequena;103993.34;83194,67;100000,0;2025-09-17;FEIRA DE SANTANA;BA;FEIRA DE SANTANA;BA;False
BRADESCO;**.*07.664/0001-**;COSTACONT CONTABILIDADE RESOLUTIVA LTDA;Pequena;72795.34;58236,27;70000,0;2025-08-22;ACARAU;CE;ACARAU;CE;False
BRADESCO;**.*69.457/0001-**;IZABELLI CASTELLI DOS SANTOS;Pequena;94537.82;75630,26;90000,0;2025-08-27;LONDRINA;PR;LONDRINA;PR;False
BRADESCO;**.*17.067/0001-**;FISIORAIM FISIOTERAPIA LTDA;Pequena;83194.68;66555,74;80000,0;2025-08-22;RIO DE JANEIRO;RJ;RIO DE JANEIRO;RJ;False
BRADESCO;**.*29.171/0001-**;CARVALHO VEICULOS LTDA;Pequena;114392.68;91514,14;110000,0;2025-09-17;GARANHUNS;PE;GARANHUNS;PE;False
BRADESCO;**.*12.332/0001-**;RIBEIRO DAMASCENO COMERCIO DE VEICULOS LTDA;Pequena;139180.67;111344,54;132500,0;2025-08-22;JUIZ DE FORA;MG;JUIZ DE FORA;MG;False
BRADESCO;**.*54.939/0001-**;IRMAOS OLIVEIRA - C DE M ELETRICOS LTDA;Pequena;199135.09;159308,07;193400,0;2025-08-27;SIQUEIRA CAMPOS;PR;SIQUEIRA CAMPOS;PR;False
BRADESCO;**.*83.946/0001-**;PAULO FLORES FARIAS;Pequena;115126.05;92100,84;109600,0;2025-08-27;RIO GRANDE;RS;RIO GRANDE;RS;False
BRADESCO;**.*19.321/0001-**;CASA DAS PECAS O BERTOLDO LTDA;Pequena;155990.02;124792,02;150000,0;2025-08-27;QUIXADA;CE;QUIXADA;CE;False
BRADESCO;**.*64.884/0001-**;L GUILHERME GONCALVES COMERCIO DE VESTUARIOS;Pequena;210084.03;168067,22;200000,0;2025-08-27;LONDRINA;PR;LONDRINA;PR;False
BRADESCO;**.*83.312/0001-**;BAUSCH IMPORTACAO DE MATERIAIS ODONTOLOGICOS LTDA;Pequena;272858.32;218286,66;265000,0;2025-08-27;ITU;SP;ITU;SP;False
BRADESCO;**.*17.844/0001-**;WW MATERIAIS PARA CONSTRUCAO LTDA;Pequena;155990.02;124792,02;150000,0;2025-08-27;ITAU DE MINAS;MG;ITAU DE MINAS;MG;False
BRADESCO;**.*11.967/0001-**;DULTSERVE ENGENHARIA LTDA;Pequena;59484.19;47587,35;57200,0;2025-08-27;RECIFE;PE;RECIFE;PE;False
BRADESCO;**.*76.573/0001-**;TELES E FLEURY LTDA;Pequena;73211.31;58569,05;70400,0;2025-08-27;COCALZINHO DE GOIAS;GO;COCALZINHO DE GOIAS;GO;False
BRADESCO;**.*50.315/0001-**;MERCEARIA MG LTDA;Pequena;139915.97;111932,78;133200,0;2025-09-17;SANTO HIPOLITO;MG;SANTO HIPOLITO;MG;False
BRADESCO;**.*61.697/0001-**;F & P COMERCIO DE BEBIDAS E REPRESENTACAO COMERCIAL LTDA;Pequena;105042.02;84033,62;100000,0;2025-08-27;UBERLANDIA;MG;UBERLANDIA;MG;False
BRADESCO;**.*49.446/0001-**;LNEVES EQUIPAMENTOS INDUSTRIAIS LTDA;Pequena;483937.4;387149,92;470000,0;2025-08-27;OSASCO;SP;OSASCO;SP;False
BRADESCO;**.*60.546/0001-**;ABS CONSTRUCOES LTDA;Pequena;168677.2;134941,76;162200,0;2025-08-27;SAO PAULO;SP;SAO PAULO;SP;False
BRADESCO;**.*33.065/0001-**;CICERA PEREIRA DA SILVA PINHO MERCEARIA;Pequena;270382.7;216306,16;260000,0;2025-08-27;CRATO;CE;CRATO;CE;False
BRADESCO;**.*93.746/0001-**;SPEEDMAX PROVEDOR LTDA;Pequena;441176.47;352941,18;420000,0;2025-08-27;LAGOA GRANDE;PE;LAGOA GRANDE;PE;False
BRADESCO;**.*85.379/0001-**;CRISTIANO DIAS DA SILVA;Pequena;115546.22;92436,98;110000,0;2025-08-27;COCALINHO;MT;COCALINHO;MT;False
BRADESCO;**.*43.729/0001-**;MARIA HELENA OLIVEIRA ARAUJO;Pequena;55012.48;44009,98;52900,0;2025-08-27;FEIRA DE SANTANA;BA;FEIRA DE SANTANA;BA;False
BRADESCO;**.*52.509/0001-**;MTG BRASIL COMERCIO DE BRINQUEDOS LTDA;Pequena;494747.9;395798,32;471000,0;2025-08-27;SAO PAULO;SP;SAO PAULO;SP;False
BRADESCO;**.*97.438/0001-**;D & D INFORMATICA LTDA;Pequena;308896.21;247116,97;300000,0;2025-08-27;TAILANDIA;PA;TAILANDIA;PA;False
BRADESCO;**.*78.291/0001-**;P R RAMOS REPRESENTACOES LTDA - ME;Pequena;105042.02;84033,62;100000,0;2025-08-27;ALFREDO CHAVES;ES;ALFREDO CHAVES;ES;False
BRADESCO;**.*94.795/0001-**;JM CURSOS PROFISSIONALIZANTES LTDA;Pequena;63838.55;51070,84;62000,0;2025-08-27;CAMPO GRANDE;MS;CAMPO GRANDE;MS;False
BRADESCO;**.*08.806/0001-**;MEU BEBE CONFECCOES LTDA;Pequena;103993.34;83194,67;100000,0;2025-08-27;PAULO AFONSO;BA;PAULO AFONSO;BA;False
BRADESCO;**.*29.629/0001-**;NETO TRANSPORTADORA LTDA;Pequena;259047.42;207237,94;249100,0;2025-08-27;ITAMBE;PE;ITAMBE;PE;False
BRADESCO;**.*97.925/0001-**;A FARIA MULLER & CIA LTDA;Pequena;488768.72;391014,98;470000,0;2025-08-27;RIO DE JANEIRO;RJ;RIO DE JANEIRO;RJ;False
BRADESCO;**.*75.960/0001-**;POTRO LTDA;Pequena;67595.67;54076,54;65000,0;2025-08-27;CARMO DO PARANAIBA;MG;CARMO DO PARANAIBA;MG;False
BRADESCO;**.*40.568/0001-**;F.A.B.L. REPRESENTACOES DE COSMETICOS LTDA - ME;Pequena;178571.43;142857,14;170000,0;2025-08-27;RIO DE JANEIRO;RJ;RIO DE JANEIRO;RJ;False
BRADESCO;**.*17.871/0001-**;GRJ CONSTRUCOES E SERVICOS LTDA;Pequena;185562.81;148450,25;182000,0;2025-08-27;BARREIRAS;BA;BARREIRAS;BA;False
BRADESCO;**.*21.564/0001-**;COMERCIAL NOGUEIRA E FILHOS LTDA;Pequena;165966.39;132773,11;158000,0;2025-08-27;ITABIRA;MG;ITABIRA;MG;False
BRADESCO;**.*74.170/0001-**;F.A DE ASSIS ASSESSORIA;Pequena;92668.86;74135,09;90000,0;2025-08-27;CAMPINAS;SP;CAMPINAS;SP;False
BRADESCO;**.*35.322/0001-**;CADEIRONE INDUSTRIA E COMERCIO DE MOVEIS LTDA;Pequena;239184.69;191347,75;230000,0;2025-08-27;GUARAI;TO;GUARAI;TO;False
BRADESCO;**.*93.097/0001-**;COMERCIO DE TECIDOS E CONFECCOES OMARTH LTDA - ME;Pequena;43677.2;34941,76;42000,0;2025-08-27;MOREIRA SALES;PR;MOREIRA SALES;PR;False
BRADESCO;**.*52.411/0001-**;JJ SERVICOS ELETRICOS LTDA;Pequena;110294.12;88235,3;105000,0;2025-08-27;CANOAS;RS;CANOAS;RS;False
BRADESCO;**.*09.819/0001-**;VAGNO LUCENO G SILVA;Pequena;115546.22;92436,98;110000,0;2025-08-27;CONCEICAO DO COITE;BA;CONCEICAO DO COITE;BA;False
BRADESCO;**.*67.693/0001-**;J A SALAZAR LTDA;Pequena;124792.01;99833,61;120000,0;2025-08-27;PINHEIRO;MA;PINHEIRO;MA;False
BRADESCO;**.*44.599/0001-**;PLENTY OF IDEAS CURSOS DE IDIOMAS LTDA;Pequena;294117.65;235294,12;280000,0;2025-08-27;FORTALEZA;CE;FORTALEZA;CE;False
BRADESCO;**.*12.351/0001-**;DEISIANE BOTELHO DA SILVA LTDA;Pequena;115546.22;92436,98;110000,0;2025-08-27;CONCEICAO DO ARAGUAIA;PA;CONCEICAO DO ARAGUAIA;PA;False
BRADESCO;**.*92.021/0001-**;MM SHOP LTDA;Pequena;161189.68;128951,74;155000,0;2025-08-27;SITIO DO QUINTO;BA;SITIO DO QUINTO;BA;False
BRADESCO;**.*55.927/0001-**;ICTUS ENGENHARIA LTDA;Pequena;484298.53;387438,82;475000,0;2025-08-27;PORTO SEGURO;BA;PORTO SEGURO;BA;False
BRADESCO;**.*86.510/0001-**;ALVES & PONTES LTDA;Pequena;64868.2;51894,56;63000,0;2025-08-27;BODOCO;PE;BODOCO;PE;False
BRADESCO;**.*76.671/0001-**;HOSPITAL VETERINARIO UNIDADE ANIMAL LTDA;Pequena;315126.05;252100,84;300000,0;2025-09-17;CACADOR;SC;CACADOR;SC;False
BRADESCO;**.*96.923/0001-**;RC MODA FITNESS LTDA;Pequena;239390.76;191512,61;227900,0;2025-08-27;NITEROI;RJ;NITEROI;RJ;False
BRADESCO;**.*19.783/0001-**;VISUALITE ESTETICA E CABELEIREIROS - ARRENDADORA DE BENS MOVEIS E ESPA;Pequena;113261.94;90609,55;110000,0;2025-08-27;PORTO ALEGRE;RS;PORTO ALEGRE;RS;False
BRADESCO;**.*99.092/0001-**;WELDMA G. N. BATISTA TRANSPORTE RODOVIARIO LTDA;Pequena;157563.03;126050,42;150000,0;2025-08-27;RECIFE;PE;RECIFE;PE;False
BRADESCO;**.*68.746/0001-**;MARQUES MARAVALHAS LTDA;Pequena;493968.39;395174,71;475000,0;2025-08-27;FARROUPILHA;RS;FARROUPILHA;RS;False
BRADESCO;**.*34.696/0001-**;M M R - TRANSPORTE E LOGISTICA LTDA;Pequena;396214.64;316971,71;381000,0;2025-08-27;ARAPONGAS;PR;ARAPONGAS;PR;False
BRADESCO;**.*77.445/0001-**;ATACADISTA DE ALIMENTOS SERTAO LTDA;Pequena;304777.59;243822,07;296000,0;2025-08-27;IPIRA;BA;IPIRA;BA;False
BRADESCO;**.*30.820/0001-**;HOTEL URBAN MOOCA LTDA;Pequena;74341.02;59472,82;72200,0;2025-08-27;SAO PAULO;SP;SAO PAULO;SP;False
BRADESCO;**.*38.168/0001-**;DISTRIBUIDORA DE CARNES ESPERANCA LTDA;Pequena;498949.58;399159,66;475000,0;2025-08-27;GOVERNADOR VALADARES;MG;GOVERNADOR VALADARES;MG;False
BRADESCO;**.*56.278/0001-**;ENGATE ENGENHARIA LTDA;Pequena;328618.97;262895,18;316000,0;2025-08-27;CONSELHEIRO LAFAIETE;MG;CONSELHEIRO LAFAIETE;MG;False
BRADESCO;**.*79.686/0001-**;COMERCIAL ROSENO LTDA;Pequena;180116.47;144093,18;173200,0;2025-08-27;PALMAS;TO;PALMAS;TO;False
BRADESCO;**.*28.243/0001-**;NICO ACADEMIA DE GINASTICA LTDA;Pequena;102965.4;82372,32;100000,0;2025-08-27;PIRACICABA;SP;PIRACICABA;SP;False
BRADESCO;**.*23.267/0001-**;S M TURISMO E REPRESENTACOES LTDA;Pequena;114392.68;91514,14;110000,0;2025-08-27;JACOBINA;BA;JACOBINA;BA;False
BRADESCO;**.*15.823/0001-**;MANOEL L. DA SILVA FILHO TRANSPORTES;Pequena;63025.21;50420,17;60000,0;2025-08-27;ABREU E LIMA;PE;ABREU E LIMA;PE;False
BRADESCO;**.*10.140/0001-**;CONFERE RETIFICA DE MOTORES LTDA;Pequena;498949.58;399159,66;475000,0;2025-08-27;GOIANIA;GO;GOIANIA;GO;False
BRADESCO;**.*57.473/0001-**;T. V. DE FARIAS;Pequena;45880.91;36704,73;45000,0;2025-09-17;ITAPAJE;CE;ITAPAJE;CE;False
BRADESCO;**.*77.351/0001-**;CENTRO DE FISIOTERAPIA E REABILITACAO CAVENAGHI S/S;Pequena;415973.38;332778,7;400000,0;2025-08-27;SAO PAULO;SP;SAO PAULO;SP;False
BRADESCO;**.*58.405/0001-**;DUAS RODAS MOTO PECAS LTDA;Pequena;131031.61;104825,29;126000,0;2025-08-27;SANTANA DO ARAGUAIA;PA;SANTANA DO ARAGUAIA;PA;False
BRADESCO;**.*61.818/0001-**;JUNIOR & GEISE PANIFICADORA LTDA;Pequena;153361.34;122689,07;146000,0;2025-09-17;BREJINHO;RN;BREJINHO;RN;False
BRADESCO;**.*44.848/0001-**;MAGNO CARVALHO VIEIRA;Pequena;61174.55;48939,64;60000,0;2025-09-17;PETROPOLIS;RJ;PETROPOLIS;RJ;False
BRADESCO;**.*63.701/0001-**;LEYDIANE C PARANHOS E CIA LTDA;Pequena;300420.17;240336,14;286000,0;2025-08-27;MACEIO;AL;MACEIO;AL;False
BRADESCO;**.*86.170/0001-**;AGRO E TRANSPORTES LTDA;Pequena;420168.07;336134,46;400000,0;2025-09-17;PARNAIBA;PI;PARNAIBA;PI;False
BRADESCO;**.*88.299/0001-**;AMERICA ENGENHARIA E SERVICOS LTDA;Pequena;493968.39;395174,71;475000,0;2025-09-26;RIO DE JANEIRO;RJ;RIO DE JANEIRO;RJ;False
BRADESCO;**.*63.701/0001-**;LEYDIANE C PARANHOS E CIA LTDA;Pequena;162815.13;130252,1;155000,0;2025-08-27;MACEIO;AL;MACEIO;AL;False
BRADESCO;**.*16.855/0001-**;DROGA ALVES LTDA;Pequena;157563.03;126050,42;150000,0;2025-09-17;ALEXANIA;GO;ALEXANIA;GO;False
BRADESCO;**.*00.369/0001-**;IPA CALCADOS ESPERANCA LTDA;Pequena;64579.87;51663,9;62100,0;2025-08-27;IPATINGA;MG;IPATINGA;MG;False
BRADESCO;**.*13.604/0001-**;JANDERSON DE MATOS ANDRADE;Pequena;155990.02;124792,02;150000,0;2025-08-27;MANAUS;AM;MANAUS;AM;False
BRADESCO;**.*68.277/0001-**;RAIMUNDA MARIA RABELO LTDA;Pequena;117380.56;93904,45;114000,0;2025-09-17;APUI;AM;APUI;AM;False
BRADESCO;**.*59.671/0001-**;YESHUAH INDUSTRIAL E COMERCIO DE FIBRAS TEXTEIS LTDA;Pequena;489085.67;391268,54;475000,0;2025-08-27;FORTALEZA;CE;FORTALEZA;CE;False
BRADESCO;**.*35.836/0001-**;WENYS LUNARDO RODRIGUES LTDA;Pequena;493968.39;395174,71;475000,0;2025-08-27;IPORA;GO;IPORA;GO;False
BRADESCO;**.*00.671/0001-**;A. D. DE OLIVEIRA;Pequena;180498.35;144398,68;175300,0;2025-08-27;BELEM;AL;BELEM;AL;False
BRADESCO;**.*19.930/0001-**;NEXUS PUBLIC LTDA;Pequena;493968.39;395174,71;475000,0;2025-08-27;OSASCO;SP;OSASCO;SP;False
BRADESCO;**.*45.252/0001-**;D. F. COMERCIO DE ALIMENTOS & CHURRASCARIA LTDA;Pequena;62396.01;49916,81;60000,0;2025-08-27;FORTALEZA;CE;FORTALEZA;CE;False
BRADESCO;**.*23.830/0001-**;NORTE ARGAMASSA LTDA;Pequena;415973.38;332778,7;400000,0;2025-08-27;SANTA ISABEL DO PARA;PA;SANTA ISABEL DO PARA;PA;False
